cellid,endid,blur,lon,lat,dist,blon,blat 
126.458764.32,458764,50.0,104.0792,30.6667,500.0,104.08319681104643,30.66959893590622
126.458764.33,458764,230.0,104.0792,30.6667,500.0,104.07520342758592,30.6638009398802
126.458764.34,458764,230.0,104.0792,30.6667,500.0,104.07520342758592,30.6638009398802
126.458765.31,458765,20.0,104.028333,30.627777,500.0,104.0301167884851,30.632015063389414
126.458765.32,458765,220.0,104.028333,30.627777,500.0,104.02498083941306,30.62432204384769
126.458765.33,458765,0.0,104.028333,30.627777,500.0,104.028333,30.632287065780517
126.458765.34,458765,20.0,104.028333,30.627777,500.0,104.0301167884851,30.632015063389414
126.458766.31,458766,60.0,104.05705,30.66039,500.0,104.06156813481032,30.66264494342533
126.458766.32,458766,180.0,104.05705,30.66039,500.0,104.05705,30.655879953735493
126.458766.33,458766,300.0,104.05705,30.66039,500.0,104.05253186518969,30.66264494342533
126.458767.31,458767,90.0,104.075833,30.643333,500.0,104.08104905582445,30.64333289536437
126.458767.32,458767,190.0,104.075833,30.643333,500.0,104.07492728279728,30.638891456674056
126.458767.33,458767,290.0,104.075833,30.643333,500.0,104.07093143304256,30.644875437605176
126.458768.31,458768,90.0,103.986001,30.6697,500.0,103.99121847173552,30.66969989525509
126.458768.32,458768,180.0,103.986001,30.6697,500.0,103.986001,30.665189960203108
126.458768.33,458768,330.0,103.986001,30.6697,500.0,103.98339215918254,30.67360578031759
126.458769.31,458769,90.0,104.067777,30.671944,500.0,104.07299459232514,30.671943895245796
126.458769.32,458769,160.0,104.067777,30.671944,500.0,104.06956144378348,30.667705938183364
126.458769.33,458769,260.0,104.067777,30.671944,500.0,104.06263871607442,30.671160738709258
126.458770.31,458770,20.0,104.025001,30.5912,500.0,104.02678411813453,30.59543808726128
126.458770.32,458770,180.0,104.025001,30.5912,500.0,104.025001,30.586689905705494
126.458770.33,458770,270.0,104.025001,30.5912,500.0,104.01978773821445,30.59119989558024
126.458771.31,458771,60.0,104.026666,30.603888,500.0,104.03118151006335,30.606142963215664
126.458771.32,458771,180.0,104.026666,30.603888,500.0,104.026666,30.599377914508434
126.458771.33,458771,300.0,104.026666,30.603888,500.0,104.02215048993666,30.606142963215664
126.458771.4,458771,60.0,104.026666,30.603888,500.0,104.03118151006335,30.606142963215664
126.458771.5,458771,180.0,104.026666,30.603888,500.0,104.026666,30.599377914508434
126.458771.6,458771,300.0,104.026666,30.603888,500.0,104.02215048993666,30.606142963215664
126.458772.31,458772,70.0,104.038,30.6939,500.0,104.04290412039695,30.695442425403854
